"filename", "language", "Python", "YAML", "Markdown", "TypeScript", "JSON with Comments", "Ignore", "Java Properties", "JavaScript", "Java", "TypeScript JSX", "JSON", "XML", "JavaScript JSX", "Batch", "Docker", "CSS", "comment", "blank", "total"
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 25, 15, 112
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 30, 16, 145
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\exceptions\UserPreferenceNotFound.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\requests\NewFiltersDto.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\requests\RawCoordinateUserPreferenceRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\requests\RawUserPreferenceRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\utils\UserPreferenceBuilder.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 5, 20, 100
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\BackendApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\admin\AdminServiceTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\admin\views\AdminAuthViewTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\apis\AirbnbApiServiceTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0, 0, 0, 34, 52, 375
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\apis\ExternalApisControllerTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 21, 40, 197
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\apis\RentCastApiServiceTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 16, 42, 242
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\test\java\com\ineedhousing\backend\auth\AuthenticationControllerTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 43, 38, 266
